polisa,os_aneks_fakturaid,naplata_do_period,dolg,lc_bodovi,lc_iznos_bod,promotor_bodovi,lc_presmetki,promotor_presmetki,pricina
20/003938,6055878,0.79,0.79,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003938,6055890,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003938,6055902,17.25,17.25,0,0.0,6,0,3,IMA_PRESMETKA
20/003938,6055914,1.13,1.13,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003939,6055926,26.67,26.67,0,0.0,6,0,3,IMA_PRESMETKA
20/003939,6055938,0.8,0.8,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003939,6055950,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003939,6055962,1.7,1.7,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003940,6055974,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003940,6055986,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003940,6055998,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003940,6056010,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003941,5759974,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003941,5759986,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003941,5759998,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003941,5760010,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003942,6056022,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003942,6056034,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003942,6056046,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003942,6056058,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003943,6056070,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003943,6056082,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003943,6056094,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003943,6056106,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003944,6056117,7.83,7.83,0,0.0,0,0,3,IMA_PRESMETKA
20/003944,6056129,0.77,0.77,0,0.0,0,0,0,NEMA_BODOVI
20/003944,6056141,0.83,0.83,0,0.0,0,0,3,IMA_PRESMETKA
20/003944,6056153,0.57,0.57,0,0.0,0,0,0,NEMA_BODOVI
20/003946,6056214,0.8,0.8,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003946,6056226,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003946,6056238,17.25,17.25,0,0.0,6,0,3,IMA_PRESMETKA
20/003946,6056250,1.13,1.13,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003947,6056262,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003947,6056274,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003947,6056286,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003947,6056298,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003948,6056310,0.69,0.69,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003948,6056322,7.92,7.92,0,0.0,6,0,3,IMA_PRESMETKA
20/003948,6056334,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003948,6056346,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003949,6056381,0.79,0.79,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003949,6056382,0.4,0.79,0,0.0,6,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
20/003949,6056393,17.25,17.25,0,0.0,6,0,4,IMA_PRESMETKA
20/003949,6056394,8.63,17.25,0,0.0,6,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
20/003949,6056405,0.83,0.83,0,0.0,6,0,4,IMA_PRESMETKA
20/003949,6056406,0.42,0.83,0,0.0,6,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
20/003949,6056417,1.13,1.13,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003949,6056418,0.57,1.13,0,0.0,6,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
20/004236,5296115,7.83,7.83,0,0.0,10,0,4,IMA_PRESMETKA
20/004236,5296127,0.83,0.83,0,0.0,10,0,4,IMA_PRESMETKA
20/004236,5296139,0.77,0.77,0,0.0,10,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004236,5296151,0.57,0.57,0,0.0,10,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004237,5296163,0.77,0.77,0,0.0,8,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004237,5296175,0.83,0.83,0,0.0,8,0,4,IMA_PRESMETKA
20/004237,5296187,7.83,7.83,0,0.0,8,0,4,IMA_PRESMETKA
20/004237,5296199,0.57,0.57,0,0.0,8,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004239,5296258,0.77,0.77,0,0.0,8,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004239,5296270,0.83,0.83,0,0.0,8,0,4,IMA_PRESMETKA
20/004239,5296282,7.83,7.83,0,0.0,8,0,4,IMA_PRESMETKA
20/004239,5296294,0.57,0.57,0,0.0,8,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004240,6136870,0.79,0.79,0,0.0,8,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004240,6136882,0.83,0.83,0,0.0,8,0,4,IMA_PRESMETKA
20/004240,6136894,17.25,17.25,0,0.0,8,0,4,IMA_PRESMETKA
20/004240,6136906,1.13,1.13,0,0.0,8,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004241,5296403,0.79,0.79,0,0.0,9,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004241,5296415,0.83,0.83,0,0.0,9,0,4,IMA_PRESMETKA
20/004241,5296427,17.25,17.25,0,0.0,9,0,4,IMA_PRESMETKA
20/004241,5296439,1.13,1.13,0,0.0,9,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004243,5296511,0.79,0.79,0,0.0,11,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004243,5296523,0.83,0.83,0,0.0,11,0,4,IMA_PRESMETKA
20/004243,5296535,17.25,17.25,0,0.0,11,0,4,IMA_PRESMETKA
20/004243,5296547,1.13,1.13,0,0.0,11,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004249,5299496,0.79,0.79,0,0.0,9,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004249,5299508,0.83,0.83,0,0.0,9,0,4,IMA_PRESMETKA
20/004249,5299520,17.25,17.25,0,0.0,9,0,4,IMA_PRESMETKA
20/004249,5299532,1.13,1.13,0,0.0,9,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004250,5299569,0.77,0.77,0,0.0,9,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004250,5299581,0.83,0.83,0,0.0,9,0,4,IMA_PRESMETKA
20/004250,5299593,7.83,7.83,0,0.0,9,0,4,IMA_PRESMETKA
20/004250,5299605,0.57,0.57,0,0.0,9,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004272,5532026,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/004272,5532038,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004272,5532050,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/004272,5532062,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004277,5680777,17.25,17.25,0,0.0,6,0,3,IMA_PRESMETKA
20/004277,5680789,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/004277,5680801,0.79,0.79,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/004277,5680813,1.13,1.13,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
25/003789,5275685,31.58,31.58,0,0.0,0,1,0,IMA_PRESMETKA
25/003789,5275686,19.19,31.58,0,0.0,0,1,0,IMA_PRESMETKA
25/003789,5275697,1.9,1.9,0,0.0,0,0,0,NEMA_BODOVI
25/007075,5479860,11.58,11.58,0,0.0,0,1,0,IMA_PRESMETKA
25/007075,5479861,2.92,2.92,0,0.0,0,0,0,NEMA_BODOVI
25/007075,5479879,1.67,1.67,0,0.0,0,1,0,IMA_PRESMETKA
25/007075,5479891,0.97,0.97,0,0.0,0,0,0,NEMA_BODOVI
26/000837,5858323,50.0,50.0,1,396.0,0,1,0,IMA_PRESMETKA
26/000837,5858324,50.0,50.0,1,396.0,0,1,0,IMA_PRESMETKA
26/000837,5858335,3.0,3.0,1,396.0,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
26/000837,5858336,3.0,3.0,1,396.0,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
26/000840,5858349,47.83,47.83,1,378.84,0,1,0,IMA_PRESMETKA
