polisa,os_aneks_fakturaid,naplata_do_period,dolg,lc_bodovi,lc_iznos_bod,promotor_bodovi,lc_presmetki,promotor_presmetki,pricina
28/005054,5785240,23.54,41.67,0,0.0,6,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
28/005054,5785250,1.67,1.67,0,0.0,6,0,3,IMA_PRESMETKA
28/005054,5785251,1.67,1.67,0,0.0,6,0,3,IMA_PRESMETKA
28/005054,5785262,5.49,5.49,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005054,5785263,5.49,5.49,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005121,5953620,50.0,50.0,1,297.0,0,1,0,IMA_PRESMETKA
28/005121,5953632,8.96,8.96,1,297.0,0,1,0,IMA_PRESMETKA
28/005122,5953644,50.0,50.0,1,297.0,0,1,0,IMA_PRESMETKA
28/005122,5953656,7.64,7.64,1,297.0,0,1,0,IMA_PRESMETKA
28/005135,5953739,37.5,37.5,0,0.0,28,0,4,IMA_PRESMETKA
28/005135,5953740,27.12,37.5,0,0.0,28,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
28/005135,5953751,1.67,1.67,0,0.0,28,0,2,IMA_PRESMETKA
28/005135,5953763,10.17,10.17,0,0.0,28,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005145,5943323,41.67,41.67,1,270.0,0,1,0,IMA_PRESMETKA
28/005145,5943324,4.8,41.67,1,270.0,0,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
28/005178,6012686,30.0,30.0,0,0.0,26,0,2,IMA_PRESMETKA
28/005178,6012687,22.18,30.0,0,0.0,26,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
28/005178,6012698,1.67,1.67,0,0.0,26,0,1,IMA_PRESMETKA
28/005178,6012710,3.69,3.69,0,0.0,26,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005211,6074037,5.0,5.0,0,0.0,2,0,1,IMA_PRESMETKA
28/005211,6074049,30.3,30.3,0,0.0,2,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005211,6074061,171.33,171.33,0,0.0,2,0,1,IMA_PRESMETKA
28/005517,5716227,30.0,30.0,0,0.0,2,0,1,IMA_PRESMETKA
